	Iteration	Ir	Pd	Pt	Rh	Ru	Activity
52	53	0.29	0.71	0.0	0.0	0.0	0.10330511989361943
53	54	0.18	0.0	0.71	0.11	0.0	0.10581119343756672
54	55	0.0	0.4	0.12	0.15	0.33	0.13984461337955473
55	56	0.0	0.0	0.24	0.0	0.76	0.005468522340203423
56	57	0.29	0.0	0.51	0.0	0.2	0.09338975741748595
57	58	0.0	0.04	0.33	0.63	0.0	0.022854272495720803
58	59	0.09	0.58	0.03	0.0	0.3	0.16727136148628877
59	60	0.09	0.6	0.01	0.06	0.24	0.16075388304083782
60	61	0.51	0.22	0.01	0.23	0.03	0.030746148447109087
61	62	0.22	0.39	0.01	0.14	0.24	0.1261630972417898
62	63	0.08	0.56	0.02	0.07	0.27	0.16580716852941516
63	64	0.08	0.56	0.02	0.05	0.29	0.16716234368314037
64	65	0.08	0.5700000000000001	0.01	0.01	0.33	0.16854269797608767
65	66	0.12	0.2	0.67	0.0	0.01	0.06176472221606551
66	67	0.0	0.28	0.01	0.25	0.46	0.08930987414146302
67	68	0.04	0.54	0.01	0.09	0.32	0.16397058056647038
68	69	0.06	0.55	0.01	0.08	0.3	0.1638269916325091
69	70	0.12	0.5700000000000001	0.01	0.04	0.26	0.16270552777388822
70	71	0.13	0.4	0.19	0.01	0.27	0.12540453070180363
71	72	0.09	0.6	0.0	0.0	0.31	0.16762915767136438
72	73	0.05	0.55	0.03	0.01	0.36	0.16857080528091203
73	74	0.09	0.52	0.03	0.05	0.31	0.1649013879541781
74	75	0.07	0.55	0.01	0.0	0.37	0.16718812000757685
75	76	0.08	0.5700000000000001	0.05	0.01	0.29	0.16563193087527273
76	77	0.18	0.0	0.8	0.0	0.02	0.124888899608337
77	78	0.03	0.56	0.08	0.05	0.28	0.1641864127530134
78	79	0.05	0.59	0.05	0.01	0.3	0.1664951927031
79	80	0.1	0.58	0.03	0.0	0.29	0.1649758041472242
80	81	0.02	0.35000000000000003	0.33	0.06	0.24	0.11797267044019306
81	82	0.12	0.5700000000000001	0.01	0.02	0.28	0.16338019984509727
82	83	0.01	0.52	0.08	0.15	0.24	0.15800575364407296
83	84	0.03	0.54	0.06	0.07	0.3	0.1638132795700468
84	85	0.07	0.58	0.02	0.01	0.32	0.1674803494677961
85	86	0.08	0.5700000000000001	0.0	0.0	0.35	0.1679816722196415
86	87	0.0	0.23	0.35000000000000003	0.34	0.08	0.0611463831280753
87	88	0.09	0.54	0.07	0.0	0.3	0.16541291141286518
88	89	0.08	0.54	0.01	0.01	0.36	0.16660480486111295
89	90	0.03	0.54	0.04	0.06	0.33	0.1658347237617727
90	91	0.05	0.51	0.02	0.1	0.32	0.16543861896246126
91	92	0.1	0.59	0.03	0.01	0.27	0.16065481132750134
92	93	0.09	0.56	0.02	0.03	0.3	0.1699607416221228
93	94	0.09	0.55	0.02	0.01	0.33	0.16843441086290406
94	95	0.02	0.58	0.0	0.17	0.23	0.14761390695895174
95	96	0.09	0.56	0.0	0.0	0.35	0.1691047870254566
96	97	0.09	0.53	0.01	0.04	0.33	0.1668771315569103
97	98	0.06	0.56	0.03	0.02	0.33	0.16388582547937433
98	99	0.04	0.51	0.08	0.05	0.32	0.16251263110123187
99	100	0.07	0.58	0.01	0.02	0.32	0.16721133916497063
100	101	0.15	0.53	0.01	0.0	0.31	0.1646437823752086
101	102	0.12	0.53	0.03	0.0	0.32	0.16312686753444833
102	103	0.07	0.52	0.01	0.01	0.39	0.16598206445166375
103	104	0.07	0.54	0.01	0.02	0.36	0.1664764603983385
104	105	0.04	0.59	0.04	0.01	0.32	0.164198735269168
