  n,     Ir,     Pd,     Pt,     Rh,     Ru,    act,   C**2,      l
113,0.43500,0.00000,0.56500,0.00000,0.00000,0.16348,0.00381,0.41254
113,0.11500,0.56500,0.00000,0.03000,0.29000,0.16458,0.00381,0.41254
114,0.43500,0.00000,0.56500,0.00000,0.00000,0.16348,0.00381,0.41232
114,0.11500,0.56500,0.00000,0.03000,0.29000,0.16458,0.00381,0.41232
115,0.43500,0.00000,0.56500,0.00000,0.00000,0.16350,0.00379,0.41374
115,0.11500,0.56500,0.00000,0.03000,0.29000,0.16458,0.00379,0.41374
116,0.42500,0.00000,0.57500,0.00000,0.00000,0.16403,0.00402,0.41380
116,0.11500,0.56500,0.00000,0.03000,0.29000,0.16459,0.00402,0.41380
117,0.42500,0.00000,0.57500,0.00000,0.00000,0.16406,0.00411,0.41592
117,0.11500,0.56500,0.00000,0.03000,0.29000,0.16456,0.00411,0.41592
118,0.42500,0.00000,0.57500,0.00000,0.00000,0.16397,0.00415,0.41815
118,0.11500,0.56500,0.00000,0.03000,0.29000,0.16455,0.00415,0.41815
119,0.42500,0.00000,0.57500,0.00000,0.00000,0.16394,0.00414,0.42020
119,0.11500,0.56500,0.00000,0.02500,0.29500,0.16454,0.00414,0.42020
120,0.42500,0.00000,0.57500,0.00000,0.00000,0.16394,0.00414,0.42005
120,0.12000,0.56500,0.00000,0.02500,0.29000,0.16459,0.00414,0.42005
121,0.42500,0.00000,0.57500,0.00000,0.00000,0.16394,0.00416,0.42098
121,0.12000,0.56500,0.00000,0.02500,0.29000,0.16459,0.00416,0.42098
122,0.42500,0.00000,0.57500,0.00000,0.00000,0.16402,0.00430,0.42667
122,0.12000,0.56500,0.00000,0.02500,0.29000,0.16450,0.00430,0.42667
123,0.42500,0.00000,0.57500,0.00000,0.00000,0.16402,0.00427,0.42571
123,0.11500,0.56500,0.00000,0.03000,0.29000,0.16465,0.00427,0.42571
124,0.42500,0.00000,0.57500,0.00000,0.00000,0.16401,0.00434,0.42806
124,0.11500,0.56500,0.00000,0.03000,0.29000,0.16464,0.00434,0.42806
125,0.42500,0.00000,0.57500,0.00000,0.00000,0.16401,0.00434,0.42810
125,0.11500,0.56500,0.00000,0.03000,0.29000,0.16464,0.00434,0.42810
126,0.42500,0.00000,0.57500,0.00000,0.00000,0.16402,0.00437,0.42925
126,0.11500,0.56500,0.00000,0.03000,0.29000,0.16446,0.00437,0.42925
127,0.42500,0.00000,0.57500,0.00000,0.00000,0.16401,0.00441,0.43085
127,0.12000,0.56500,0.00000,0.02500,0.29000,0.16445,0.00441,0.43085
128,0.42500,0.00000,0.57500,0.00000,0.00000,0.16403,0.00443,0.43047
128,0.12000,0.56500,0.00000,0.02500,0.29000,0.16444,0.00443,0.43047
129,0.42500,0.00000,0.57500,0.00000,0.00000,0.16402,0.00443,0.42993
129,0.12000,0.56500,0.00000,0.02500,0.29000,0.16443,0.00443,0.42993
130,0.42500,0.00000,0.57500,0.00000,0.00000,0.16401,0.00446,0.43210
130,0.12000,0.56500,0.00000,0.02500,0.29000,0.16441,0.00446,0.43210
131,0.42500,0.00000,0.57500,0.00000,0.00000,0.16401,0.00447,0.43228
131,0.12000,0.56500,0.00000,0.02500,0.29000,0.16441,0.00447,0.43228
132,0.42500,0.00000,0.57500,0.00000,0.00000,0.16403,0.00446,0.43133
132,0.11500,0.56500,0.00000,0.02500,0.29500,0.16459,0.00446,0.43133
133,0.42500,0.00000,0.57500,0.00000,0.00000,0.16409,0.00435,0.42606
133,0.11500,0.56500,0.00000,0.02500,0.29500,0.16460,0.00435,0.42606
134,0.43000,0.00000,0.57000,0.00000,0.00000,0.16530,0.00441,0.42592
134,0.11500,0.56500,0.00000,0.02500,0.29500,0.16461,0.00441,0.42592
135,0.43000,0.00000,0.57000,0.00000,0.00000,0.16531,0.00440,0.42580
135,0.11500,0.56500,0.00000,0.02500,0.29500,0.16460,0.00440,0.42580
136,0.43000,0.00000,0.57000,0.00000,0.00000,0.16531,0.00440,0.42587
136,0.11500,0.56500,0.00000,0.02500,0.29500,0.16459,0.00440,0.42587
137,0.43000,0.00000,0.57000,0.00000,0.00000,0.16526,0.00443,0.42700
137,0.11500,0.56500,0.00000,0.02500,0.29500,0.16458,0.00443,0.42700
138,0.43000,0.00000,0.57000,0.00000,0.00000,0.16524,0.00444,0.42894
138,0.11500,0.56500,0.00000,0.02500,0.29500,0.16457,0.00444,0.42894
