ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	Activity	Distance	v_min
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	5	[0.171 0.022 0.672 0.108 0.027]	[ 0.007 -0.013  0.146 -0.136 -0.005]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12159948927715458	0.197	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	5	[0.04  0.012 0.748 0.08  0.12 ]	[ 0.031 -0.014  0.143 -0.029 -0.132]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13715872037650728	0.115	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	6	[0.043 0.034 0.755 0.07  0.098]	[-0.125 -0.014 -0.061  0.089  0.111]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13647940748732745	0.106	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	6	[0.098 0.033 0.757 0.04  0.072]	[-0.154  0.079  0.097 -0.025  0.003]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13982855623725957	0.073	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	6	[0.044 0.018 0.739 0.086 0.113]	[ 0.082  0.068 -0.168 -0.005  0.022]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13356904935603486	0.121	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	6	[0.085 0.019 0.775 0.043 0.078]	[-0.054  0.094 -0.123 -0.028  0.111]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.14442983908356719	0.06	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	6	[0.034 0.118 0.65  0.034 0.164]	[ 0.063  0.091 -0.154 -0.045  0.045]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.10035324208919631	0.215	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	7	[0.01  0.083 0.708 0.087 0.112]	[ 0.037  0.08  -0.131  0.008  0.005]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1126976746401827	0.177	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	7	[0.066 0.087 0.661 0.078 0.108]	[-0.044  0.119 -0.146  0.037  0.034]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.10998385586800993	0.185	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	7	[0.15  0.05  0.767 0.01  0.023]	[ 0.084  0.009 -0.104 -0.1    0.11 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.14204414645496527	0.11	0.071
