HEA,Pt,Ru,Rh,Ir,Re,Os,Pd,Au,current_over_capacitance
215,0.09,0.162,0.076,0.241,0.038,0.112,0.28,0.001,-0.22007
216,0.209,0.075,0.161,0.022,0.024,0.109,0.21,0.191,-0.44378
217,0.259,0.231,0.008,0.148,0.019,0.056,0.013,0.265,-0.35591
218,0.251,0.173,0.083,0.114,0.061,0.123,0.156,0.039,-0.3529
219,0.047,0.202,0.127,0.176,0.027,0.02,0.194,0.207,-0.07802
220,0.059,0.025,0.147,0.203,0.034,0.028,0.407,0.098,-0.25464
221,0.182,0.166,0.182,0.002,0.019,0.131,0.086,0.231,-0.36782
222,0.235,0.088,0.128,0.184,0.032,0.06,0.138,0.135,-0.19799
223,0.126,0.121,0.014,0.055,0.006,0.048,0.208,0.421,-0.58081
224,0.064,0.126,0.124,0.115,0.049,0.057,0.264,0.2,-0.14811
225,0.343,0.406,0.041,0.053,0.024,0.054,0.033,0.046,-0.31982
226,0.144,0.023,0.002,0.203,0.039,0.183,0.077,0.328,-0.24558
227,0.002,0.268,0.078,0.105,0.033,0.036,0.307,0.17,-0.04306
228,0.006,0.138,0.164,0.231,0.025,0.048,0.177,0.211,-0.06085
229,0.108,0.205,0.028,0.065,0.018,0.062,0.221,0.294,-0.37643
230,0.292,0.025,0.003,0.206,0.053,0.036,0.259,0.124,-0.41099
231,0.1,0.219,0.097,0.051,0.028,0.099,0.081,0.326,-0.16134
232,0.131,0.065,0.075,0.178,0.019,0.069,0.104,0.358,-0.2155
233,0.203,0.197,0.119,0.058,0.009,0.061,0.233,0.118,-0.33998
234,0.19,0.12,0.086,0.127,0.037,0.061,0.152,0.229,-0.29186
235,0.076,0.637,0.034,0.026,0.042,0.061,0.043,0.082,-0.01527
236,0.099,0.011,0.143,0.097,0.077,0.051,0.169,0.354,-0.53626
237,0.217,0.181,0.011,0.183,0.026,0.061,0.31,0.01,-0.28298
238,0.355,0.05,0.035,0.003,0.017,0.033,0.134,0.375,-1.01559
239,0.159,0.281,0.136,0.135,0.034,0.068,0.042,0.146,-0.19957
240,0.223,0.152,0.046,0.196,0.011,0.129,0.085,0.158,-0.20561
241,0.19,0.185,0.086,0.149,0.026,0.037,0.152,0.174,-0.14886
242,0.206,0.05,0.206,0.03,0.03,0.079,0.207,0.191,-0.43054
243,0.016,0.237,0.08,0.174,0.024,0.065,0.016,0.387,-0.0277
244,0.039,0.05,0.004,0.18,0.037,0.048,0.302,0.34,-0.27992
245,0.218,0.291,0.105,0.021,0.031,0.089,0.166,0.08,-0.48216
246,0.225,0.115,0.13,0.169,0.041,0.047,0.046,0.227,-0.15236
247,0.096,0.3,0.036,0.076,0.035,0.107,0.204,0.145,-0.4046
248,0.146,0.115,0.121,0.17,0.033,0.087,0.323,0.004,-0.19017
249,0.27,0.283,0.019,0.041,0.021,0.064,0.106,0.195,-0.65789
250,0.29,0.021,0.105,0.296,0.018,0.074,0.059,0.137,-0.47487
251,0.064,0.205,0.15,0.091,0.018,0.033,0.134,0.306,-0.14296
252,0.069,0.217,0.042,0.046,0.036,0.02,0.405,0.165,-0.25788
253,0.15,0.233,0.067,0.117,0.015,0.056,0.105,0.257,-0.13147
254,0.375,0.135,0.134,0.142,0.041,0.054,0.078,0.044,-0.24712
255,0.088,0.23,0.001,0.154,0.04,0.098,0.199,0.19,-0.2289
256,0.084,0.019,0.155,0.019,0.017,0.099,0.262,0.345,-0.44561
257,0.243,0.22,0.05,0.118,0.04,0.049,0.085,0.194,-0.25082
258,0.213,0.17,0.017,0.092,0.036,0.1,0.029,0.343,-0.5416
259,0.011,0.315,0.114,0.23,0.014,0.033,0.193,0.089,-0.12154
260,0.028,0.021,0.071,0.144,0.035,0.114,0.095,0.491,-0.05674
261,0.175,0.166,0.117,0.18,0.019,0.054,0.181,0.109,-0.26524
262,0.257,0.073,0.079,0.032,0,0.076,0.238,0.244,-1.057
263,0.134,0.393,0.008,0.184,0.031,0.031,0.196,0.024,-0.12733
264,0.195,0.171,0.18,0.077,0.021,0.058,0.032,0.266,-0.3216
265,0.193,0.174,0.033,0.121,0.04,0.073,0.141,0.224,-0.46558
266,0.293,0.083,0.037,0.01,0.087,0.098,0.334,0.057,-0.77528
267,0.047,0.23,0.107,0.116,0.031,0.13,0.076,0.264,-0.13563
268,0.099,0.18,0.009,0.306,0.033,0.225,0.076,0.073,-0.18814
269,0.196,0.212,0.06,0.069,0.022,0.053,0.167,0.22,-0.73106
270,0.246,0.002,0.133,0.127,0.036,0.064,0.264,0.128,-0.46604
271,0.176,0.167,0.047,0.021,0.01,0.06,0.112,0.408,-0.44601
272,0.145,0.058,0.126,0.284,0.061,0.065,0.003,0.257,-0.17824
273,0.325,0.208,0.022,0.123,0.022,0.084,0.217,0,-0.54644
274,0.169,0.098,0.046,0.159,0.029,0.063,0.156,0.28,-0.36514
275,0.055,0.247,0.221,0.069,0.039,0.12,0.109,0.14,-0.09979
276,0.038,0.191,0.149,0.021,0.031,0.173,0.381,0.014,-0.15666
277,0.237,0.22,0.001,0.173,0.006,0.054,0.048,0.26,-0.36922
278,0.31,0.08,0.048,0.087,0.033,0.126,0.201,0.114,-1.06018
279,0.067,0.167,0.093,0.161,0.029,0.062,0.232,0.189,-0.16488
280,0.176,0.007,0.03,0.045,0.04,0.141,0.26,0.301,-1.02913
281,0.219,0.223,0.136,0.174,0.037,0.127,0.038,0.045,-0.30646
282,0.211,0.066,0.13,0.091,0.018,0.054,0.09,0.341,-0.41713
283,0.051,0.238,0.055,0.187,0.011,0.104,0.244,0.109,-0.07728
284,0.031,0.049,0.142,0.15,0.001,0.08,0.196,0.351,-0.34432
285,0.229,0.287,0.057,0.061,0.023,0.066,0.068,0.209,-0.64072
286,0.215,0.089,0.006,0.176,0.037,0.179,0.09,0.209,-0.61894
287,0.121,0.197,0.084,0.119,0.03,0.139,0.251,0.059,-0.32221
288,0.083,0.139,0.103,0.168,0.076,0.073,0.217,0.141,-0.24796
289,0.179,0.183,0.13,0.024,0.025,0.218,0.01,0.231,-0.20537
290,0.171,0.028,0.343,0.271,0.037,0.025,0.1,0.026,-0.24884
291,0.012,0.112,0.137,0.096,0.034,0.035,0.289,0.285,-0.18943
292,0.006,0.076,0.353,0.092,0.02,0.064,0.004,0.387,-0.11926
293,0.156,0.227,0.074,0.239,0.061,0.033,0.107,0.103,-0.19012
294,0.195,0.157,0.199,0.106,0.029,0.054,0.088,0.173,-0.31479
295,0.065,0.28,0.339,0.227,0.001,0.033,0.046,0.009,-0.13204
296,0.169,0.236,0.078,0.063,0.028,0.058,0.099,0.268,-0.41241
297,0.203,0.141,0.103,0.151,0.017,0.09,0.048,0.246,-0.27668
298,0.195,0.02,0.386,0.113,0.021,0.024,0.187,0.054,-0.27616
299,0.035,0.211,0.139,0.24,0.044,0.055,0.097,0.179,-0.09385
300,0.055,0.133,0.375,0.144,0.036,0.182,0,0.075,-0.13402
