	Iteration	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
45	46	0.37	0.23	0.14	0.12	0.12	0.0	0.02	0.0	-0.755924695639356
46	47	0.4	0.33	0.23	0.0	0.04	0.0	0.0	0.0	-0.9742670147684838
47	48	0.33	0.37	0.16	0.02	0.0	0.0	0.12	0.0	-0.8271496193536044
48	49	0.03	0.05	0.0	0.0	0.32	0.58	0.02	0.0	-0.3070955525378207
49	50	0.37	0.24	0.26	0.03	0.04	0.0	0.05	0.01	-0.9549205086644164
50	51	0.32	0.32	0.21	0.04	0.0	0.0	0.1	0.01	-0.8969614578135308
51	52	0.59	0.08	0.02	0.24	0.02	0.01	0.03	0.01	-0.5202099432160568
52	53	0.48	0.0	0.03	0.15	0.01	0.26	0.0	0.07	-0.3801967394390386
53	54	0.32	0.15	0.29	0.05	0.02	0.01	0.01	0.15	-0.9157387100467373
54	55	0.26	0.19	0.48	0.05	0.01	0.01	0.0	0.0	-0.7676104853165968
55	56	0.34	0.36	0.18	0.02	0.06	0.0	0.04	0.0	-0.8747686891999928
56	57	0.0	0.52	0.0	0.01	0.28	0.03	0.12	0.04	-0.17512417836424812
57	58	0.41000000000000003	0.29	0.28	0.02	0.0	0.0	0.0	0.0	-1.024179150677525
58	59	0.0	0.45	0.2	0.01	0.0	0.0	0.29	0.05	-0.2755656449202719
59	60	0.03	0.01	0.49	0.02	0.0	0.01	0.41000000000000003	0.03	-0.2695854850322632
60	61	0.32	0.27	0.27	0.1	0.0	0.0	0.04	0.0	-0.9409884709018523
61	62	0.36	0.31	0.16	0.0	0.06	0.03	0.01	0.07	-0.902423349340228
62	63	0.3	0.15	0.39	0.03	0.05	0.0	0.02	0.06	-0.8550444780972377
63	64	0.0	0.03	0.47000000000000003	0.01	0.08	0.38	0.0	0.03	-0.12936087652890296
64	65	0.0	0.01	0.46	0.5	0.0	0.0	0.02	0.01	-0.18651176142892903
65	66	0.32	0.05	0.0	0.02	0.5700000000000001	0.0	0.03	0.01	-0.32402049404758315
66	67	0.02	0.3	0.0	0.0	0.0	0.38	0.3	0.0	-0.2030363114000025
67	68	0.05	0.12	0.0	0.23	0.48	0.02	0.0	0.1	-0.23509325013344323
68	69	0.41000000000000003	0.02	0.0	0.05	0.05	0.01	0.4	0.06	-0.3649717277977666
69	70	0.06	0.5700000000000001	0.01	0.04	0.0	0.27	0.0	0.05	-0.21302033042028998
70	71	0.03	0.07	0.38	0.03	0.4	0.06	0.02	0.01	-0.2484684981878693
71	72	0.15	0.25	0.01	0.01	0.02	0.02	0.02	0.52	-0.4258721778818083
72	73	0.43	0.01	0.0	0.49	0.01	0.03	0.02	0.01	-0.35291747481803865
73	74	0.01	0.0	0.06	0.52	0.0	0.36	0.01	0.04	-0.1540007277515074
74	75	0.01	0.05	0.0	0.05	0.33	0.01	0.55	0.0	-0.25243224778219875
75	76	0.24	0.08	0.01	0.0	0.05	0.6	0.0	0.02	-0.33423971889745774
76	77	0.0	0.04	0.07	0.35000000000000003	0.03	0.03	0.47000000000000003	0.01	-0.22840994235442297
77	78	0.22	0.19	0.28	0.01	0.01	0.03	0.26	0.0	-0.5790522039871955
78	79	0.34	0.26	0.27	0.0	0.07	0.01	0.03	0.02	-0.9388126170719688
79	80	0.32	0.33	0.02	0.22	0.0	0.03	0.0	0.08	-0.7094403484782363
80	81	0.5	0.37	0.03	0.02	0.01	0.0	0.02	0.05	-0.7616778958206227
81	82	0.29	0.35000000000000003	0.24	0.09	0.0	0.0	0.0	0.03	-0.9320003055479078
82	83	0.25	0.49	0.2	0.01	0.01	0.0	0.01	0.03	-0.7404543583543113
83	84	0.31	0.21	0.38	0.04	0.01	0.0	0.02	0.03	-0.940681927658914
84	85	0.37	0.3	0.2	0.04	0.07	0.02	0.0	0.0	-0.9021272094276684
85	86	0.35000000000000003	0.2	0.17	0.03	0.07	0.0	0.05	0.13	-0.8770380602904688
86	87	0.47000000000000003	0.21	0.16	0.02	0.0	0.06	0.01	0.07	-0.8731585326398719
87	88	0.48	0.21	0.18	0.0	0.0	0.07	0.03	0.03	-0.850120646606247
88	89	0.29	0.01	0.01	0.0	0.02	0.27	0.39	0.01	-0.25978267797100774
89	90	0.01	0.05	0.21	0.02	0.01	0.66	0.02	0.02	-0.2894320347713266
90	91	0.05	0.26	0.05	0.59	0.03	0.01	0.01	0.0	-0.24385451054485507
91	92	0.49	0.19	0.04	0.0	0.11	0.0	0.0	0.17	-0.7121265223494178
92	93	0.02	0.05	0.02	0.03	0.49	0.35000000000000003	0.0	0.04	-0.25599010132088934
93	94	0.05	0.03	0.01	0.03	0.0	0.61	0.25	0.02	-0.2901671047490943
94	95	0.6	0.06	0.02	0.0	0.23	0.0	0.08	0.01	-0.44156060303626454
95	96	0.37	0.22	0.2	0.02	0.0	0.02	0.02	0.15	-0.9737273497576939
96	97	0.0	0.0	0.0	0.37	0.04	0.56	0.03	0.0	-0.24858746539272472
97	98	0.02	0.02	0.2	0.0	0.01	0.06	0.68	0.01	-0.2983114072743336
98	99	0.0	0.08	0.02	0.0	0.51	0.0	0.38	0.01	-0.24335086370034179
99	100	0.09	0.02	0.03	0.51	0.27	0.07	0.0	0.01	-0.11591268691813658
100	101	0.15	0.23	0.08	0.02	0.0	0.01	0.48	0.03	-0.3575353847061534
101	102	0.52	0.25	0.0	0.2	0.01	0.0	0.02	0.0	-0.6649658510273002
102	103	0.0	0.38	0.06	0.01	0.06	0.47000000000000003	0.01	0.01	-0.21985097203423387
103	104	0.01	0.5700000000000001	0.34	0.0	0.02	0.03	0.02	0.01	-0.27579404671572794
104	105	0.19	0.18	0.0	0.34	0.02	0.25	0.0	0.02	-0.26867463501691646
105	106	0.23	0.26	0.0	0.03	0.33	0.01	0.0	0.14	-0.45515332313599494
106	107	0.04	0.29	0.24	0.21	0.01	0.0	0.01	0.2	-0.4080245485136045
107	108	0.25	0.26	0.01	0.21	0.02	0.01	0.23	0.01	-0.4886772083440477
108	109	0.04	0.0	0.0	0.01	0.36	0.01	0.0	0.58	-0.3475789252576825
109	110	0.09	0.0	0.03	0.1	0.04	0.0	0.73	0.01	-0.3083383203902004
110	111	0.0	0.0	0.65	0.02	0.24	0.02	0.02	0.05	-0.17923492459921583
111	112	0.02	0.18	0.05	0.04	0.66	0.0	0.01	0.04	-0.29497236788840503
112	113	0.19	0.29	0.39	0.0	0.0	0.01	0.08	0.04	-0.7698086485397149
113	114	0.05	0.28	0.34	0.0	0.27	0.0	0.01	0.05	-0.39423230817265337
114	115	0.39	0.32	0.09	0.05	0.0	0.01	0.05	0.09	-0.8718352613199718
115	116	0.29	0.18	0.3	0.11	0.01	0.06	0.0	0.05	-0.8100422963693217
116	117	0.35000000000000003	0.19	0.28	0.0	0.11	0.01	0.03	0.03	-0.871219096313258
117	118	0.42	0.07	0.38	0.01	0.06	0.0	0.04	0.02	-0.7958801109611483
118	119	0.32	0.19	0.24	0.03	0.03	0.1	0.03	0.06	-0.7865786944716315
119	120	0.42	0.26	0.27	0.01	0.0	0.0	0.04	0.0	-1.0008320675407203
120	121	0.29	0.37	0.04	0.0	0.0	0.0	0.0	0.3	-0.6995766683555384
121	122	0.03	0.06	0.02	0.02	0.03	0.0	0.27	0.57	-0.3216709465729412
122	123	0.34	0.4	0.22	0.01	0.0	0.01	0.0	0.02	-0.9324805359721489
123	124	0.4	0.01	0.2	0.03	0.0	0.0	0.35000000000000003	0.01	-0.477132905336496
124	125	0.36	0.21	0.27	0.01	0.02	0.02	0.0	0.11	-0.9994035301141937
125	126	0.4	0.28	0.3	0.02	0.0	0.0	0.0	0.0	-1.0278355164538222
126	127	0.33	0.19	0.4	0.02	0.02	0.0	0.01	0.03	-0.9352009479447716
127	128	0.41000000000000003	0.26	0.13	0.09	0.05	0.0	0.04	0.02	-0.8574227368261793
128	129	0.35000000000000003	0.0	0.02	0.09	0.26	0.23	0.0	0.05	-0.2801609426247903
129	130	0.0	0.18	0.35000000000000003	0.0	0.02	0.0	0.07	0.38	-0.3942881491719127
130	131	0.28	0.02	0.18	0.49	0.0	0.03	0.0	0.0	-0.3542874726950199
131	132	0.37	0.14	0.17	0.3	0.0	0.01	0.0	0.01	-0.6980540009148464
132	133	0.26	0.0	0.33	0.38	0.0	0.01	0.01	0.01	-0.42566961097851264
133	134	0.04	0.0	0.11	0.0	0.01	0.37	0.45	0.02	-0.22821126372533512
134	135	0.0	0.03	0.05	0.01	0.1	0.39	0.0	0.42	-0.2879907575117825
135	136	0.03	0.0	0.0	0.0	0.8200000000000001	0.06	0.0	0.09	-0.30310351072370867
136	137	0.37	0.0	0.19	0.02	0.06	0.32	0.02	0.02	-0.3418758018891866
137	138	0.01	0.0	0.17	0.18	0.5700000000000001	0.04	0.03	0.0	-0.2453439030592713
138	139	0.53	0.15	0.01	0.0	0.04	0.22	0.0	0.05	-0.4955913788501851
139	140	0.81	0.15	0.01	0.01	0.02	0.0	0.0	0.0	-0.4680574588538601
140	141	0.0	0.01	0.07	0.62	0.04	0.01	0.2	0.05	-0.12238393127504135
141	142	0.33	0.15	0.07	0.01	0.16	0.0	0.27	0.01	-0.45148677777826585
142	143	0.02	0.34	0.0	0.04	0.12	0.0	0.39	0.09	-0.2364271786904817
143	144	0.0	0.07	0.05	0.25	0.01	0.04	0.01	0.57	-0.2892851258798127
144	145	0.59	0.0	0.04	0.0	0.0	0.18	0.14	0.05	-0.4215866635506467
145	146	0.03	0.09	0.29	0.0	0.19	0.01	0.37	0.02	-0.24469546198428893
146	147	0.0	0.58	0.04	0.1	0.0	0.0	0.28	0.0	-0.21462465999101288
147	148	0.01	0.02	0.38	0.34	0.19	0.0	0.0	0.06	-0.12340320478458877
148	149	0.0	0.01	0.65	0.2	0.08	0.05	0.0	0.01	-0.13008889328079903
149	150	0.0	0.03	0.32	0.0	0.01	0.35000000000000003	0.27	0.02	-0.1412050192932916
150	151	0.17	0.38	0.26	0.0	0.01	0.08	0.0	0.1	-0.6741403621136842
151	152	0.64	0.0	0.23	0.01	0.08	0.01	0.02	0.01	-0.5945716582272991
152	153	0.31	0.32	0.17	0.03	0.01	0.01	0.0	0.15	-0.940808116660141
153	154	0.4	0.28	0.13	0.0	0.09	0.03	0.06	0.01	-0.798266072107406
154	155	0.36	0.3	0.16	0.17	0.0	0.0	0.0	0.01	-0.8975774064003308
155	156	0.0	0.01	0.35000000000000003	0.01	0.61	0.01	0.01	0.0	-0.2948795835607797
156	157	0.42	0.16	0.24	0.04	0.0	0.06	0.03	0.05	-0.8810836667652608
157	158	0.41000000000000003	0.09	0.35000000000000003	0.07	0.0	0.02	0.04	0.02	-0.8353145958596031
158	159	0.37	0.19	0.21	0.02	0.08	0.0	0.1	0.03	-0.8319570176160042
159	160	0.36	0.13	0.26	0.15	0.08	0.0	0.01	0.01	-0.7677201306535386
160	161	0.0	0.04	0.1	0.0	0.23	0.29	0.34	0.0	-0.16197780058794808
161	162	0.01	0.0	0.02	0.03	0.01	0.17	0.76	0.0	-0.305918851649213
162	163	0.01	0.12	0.22	0.23	0.01	0.0	0.37	0.04	-0.24289462210045984
163	164	0.01	0.03	0.03	0.03	0.14	0.76	0.0	0.0	-0.3410129127316137
164	165	0.35000000000000003	0.01	0.04	0.18	0.33	0.0	0.01	0.08	-0.32223582554008207
165	166	0.0	0.37	0.0	0.21	0.01	0.28	0.12	0.01	-0.12041756249020766
166	167	0.0	0.02	0.37	0.21	0.01	0.31	0.01	0.07	-0.06310719911949203
167	168	0.0	0.36	0.01	0.38	0.17	0.0	0.02	0.06	-0.18957507822199396
