	Iteration	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
122	123	0.32	0.42	0.14	0.01	0.05	0.02	0.02	0.02	-0.7991393471728089
123	124	0.41000000000000003	0.29	0.09	0.09	0.01	0.03	0.0	0.08	-0.8606503957791998
124	125	0.28	0.23	0.3	0.07	0.05	0.01	0.02	0.04	-0.8825539042440818
125	126	0.39	0.21	0.24	0.01	0.01	0.04	0.01	0.09	-0.9710721223612444
126	127	0.39	0.39	0.09	0.0	0.06	0.0	0.0	0.07	-0.8384737628958856
127	128	0.38	0.16	0.28	0.0	0.02	0.01	0.06	0.09	-0.9422682929069557
128	129	0.05	0.02	0.01	0.11	0.54	0.25	0.0	0.02	-0.24042684608561524
129	130	0.22	0.26	0.27	0.01	0.0	0.02	0.06	0.16	-0.8514610175995991
130	131	0.44	0.17	0.26	0.05	0.04	0.03	0.01	0.0	-0.8866915753518267
131	132	0.36	0.23	0.16	0.03	0.05	0.01	0.0	0.16	-0.9225316552912532
132	133	0.43	0.22	0.19	0.02	0.01	0.07	0.05	0.01	-0.8451765080281388
133	134	0.42	0.26	0.18	0.02	0.11	0.01	0.0	0.0	-0.8650215932916399
134	135	0.45	0.22	0.12	0.0	0.12	0.0	0.01	0.08	-0.8199775385258068
135	136	0.34	0.44	0.14	0.0	0.0	0.04	0.03	0.01	-0.790817589506409
136	137	0.36	0.26	0.21	0.0	0.07	0.01	0.07	0.02	-0.8913675367381657
137	138	0.28	0.37	0.23	0.1	0.01	0.0	0.0	0.01	-0.8827563802594915
138	139	0.27	0.3	0.18	0.05	0.0	0.04	0.01	0.15	-0.8731141778431697
139	140	0.68	0.0	0.01	0.23	0.01	0.0	0.0	0.07	-0.4495221202077735
140	141	0.33	0.32	0.11	0.07	0.01	0.0	0.0	0.16	-0.8947168179814264
141	142	0.37	0.33	0.13	0.1	0.04	0.02	0.01	0.0	-0.8420836572230217
142	143	0.42	0.2	0.12	0.0	0.0	0.02	0.16	0.08	-0.7771756848771996
143	144	0.32	0.35000000000000003	0.18	0.07	0.0	0.04	0.03	0.01	-0.8592566778189041
144	145	0.0	0.04	0.04	0.01	0.36	0.06	0.0	0.49	-0.3447072361819491
145	146	0.03	0.01	0.02	0.17	0.77	0.0	0.0	0.0	-0.2944614577771525
146	147	0.0	0.05	0.0	0.3	0.38	0.01	0.26	0.0	-0.15192391824871948
147	148	0.03	0.04	0.18	0.01	0.01	0.68	0.05	0.0	-0.30104818232142033
148	149	0.65	0.03	0.0	0.0	0.18	0.13	0.0	0.01	-0.40176412737822204
149	150	0.44	0.24	0.19	0.06	0.0	0.0	0.01	0.06	-0.982977045958098
150	151	0.27	0.22	0.33	0.09	0.03	0.0	0.02	0.04	-0.88155956388448
151	152	0.44	0.32	0.18	0.01	0.0	0.03	0.0	0.02	-0.9397961505953341
152	153	0.01	0.45	0.13	0.01	0.03	0.01	0.03	0.33	-0.28355989493067263
153	154	0.02	0.0	0.35000000000000003	0.02	0.0	0.28	0.29	0.04	-0.13689712479244218
154	155	0.31	0.01	0.02	0.32	0.0	0.01	0.31	0.02	-0.34190133090101593
155	156	0.0	0.11	0.31	0.03	0.25	0.0	0.3	0.0	-0.21035423752324484
156	157	0.0	0.0	0.01	0.06	0.0	0.37	0.2	0.36	-0.249938201317373
157	158	0.02	0.02	0.9	0.01	0.02	0.01	0.01	0.01	-0.2425812580329129
158	159	0.02	0.0	0.04	0.02	0.0	0.0	0.91	0.01	-0.32590652561552774
159	160	0.27	0.29	0.17	0.02	0.0	0.0	0.0	0.25	-0.876316348158515
160	161	0.39	0.26	0.29	0.0	0.0	0.0	0.0	0.06	-1.0582529380410186
161	162	0.35000000000000003	0.2	0.12	0.12	0.01	0.01	0.05	0.14	-0.835744931674602
162	163	0.32	0.4	0.15	0.11	0.0	0.0	0.0	0.02	-0.861044493390672
163	164	0.4	0.24	0.15	0.01	0.03	0.06	0.02	0.09	-0.8754207380623038
164	165	0.39	0.14	0.17	0.02	0.09	0.0	0.01	0.18	-0.8315577216534398
165	166	0.4	0.11	0.33	0.05	0.03	0.0	0.0	0.08	-0.9071287414401759
166	167	0.39	0.23	0.2	0.08	0.02	0.01	0.03	0.04	-0.9400948861454803
167	168	0.49	0.21	0.24	0.03	0.01	0.02	0.0	0.0	-0.9298657169779958
