	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
85	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.7	0.33003565486610925
86	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.6	0.30305678710632106
87	0.0	0.0	0.0	0.0	0.1	0.2	0.2	0.5	0.2847498645154782
88	0.0	0.0	0.0	0.0	0.1	0.2	0.3	0.4	0.26782584934091336
89	0.0	0.0	0.0	0.0	0.1	0.2	0.4	0.3	0.2540148249304827
90	0.0	0.0	0.0	0.0	0.1	0.2	0.5	0.2	0.25258324928994785
91	0.0	0.0	0.0	0.0	0.1	0.2	0.6	0.1	0.27040802357112415
92	0.0	0.0	0.0	0.0	0.1	0.2	0.7	0.0	0.3059990761222125
93	0.0	0.0	0.0	0.0	0.1	0.3	0.0	0.6	0.3336267847458574
94	0.0	0.0	0.0	0.0	0.1	0.3	0.1	0.5	0.2979580057508302
95	0.0	0.0	0.0	0.0	0.1	0.3	0.2	0.4	0.2649160850169765
96	0.0	0.0	0.0	0.0	0.1	0.3	0.3	0.3	0.2377031498339791
97	0.0	0.0	0.0	0.0	0.1	0.3	0.4	0.2	0.22813936904874793
98	0.0	0.0	0.0	0.0	0.1	0.3	0.5	0.1	0.24671098388649504
99	0.0	0.0	0.0	0.0	0.1	0.3	0.6	0.0	0.2921218269155117
100	0.0	0.0	0.0	0.0	0.1	0.4	0.0	0.5	0.33939761442449445
101	0.0	0.0	0.0	0.0	0.1	0.4	0.1	0.4	0.2916622292656735
102	0.0	0.0	0.0	0.0	0.1	0.4	0.2	0.3	0.2491405946694642
103	0.0	0.0	0.0	0.0	0.1	0.4	0.3	0.2	0.2250597202054337
104	0.0	0.0	0.0	0.0	0.1	0.4	0.4	0.1	0.23370532378492687
105	0.0	0.0	0.0	0.0	0.1	0.4	0.5	0.0	0.27795826995975065
106	0.0	0.0	0.0	0.0	0.1	0.5	0.0	0.4	0.3393906848393648
107	0.0	0.0	0.0	0.0	0.1	0.5	0.1	0.3	0.28572154625202356
108	0.0	0.0	0.0	0.0	0.1	0.5	0.2	0.2	0.24786593174812133
109	0.0	0.0	0.0	0.0	0.1	0.5	0.3	0.1	0.24184768356501202
110	0.0	0.0	0.0	0.0	0.1	0.5	0.4	0.0	0.27512568387603836
111	0.0	0.0	0.0	0.0	0.1	0.6	0.0	0.3	0.3359788715003388
112	0.0	0.0	0.0	0.0	0.1	0.6	0.1	0.2	0.28949088620959756
113	0.0	0.0	0.0	0.0	0.1	0.6	0.2	0.1	0.270749103931342
114	0.0	0.0	0.0	0.0	0.1	0.6	0.3	0.0	0.2897449916727567
115	0.0	0.0	0.0	0.0	0.1	0.7	0.0	0.2	0.3389207761069173
116	0.0	0.0	0.0	0.0	0.1	0.7	0.1	0.1	0.3118617185312023
117	0.0	0.0	0.0	0.0	0.1	0.7	0.2	0.0	0.31841938283342586
118	0.0	0.0	0.0	0.0	0.1	0.8	0.0	0.1	0.3578274715680926
119	0.0	0.0	0.0	0.0	0.1	0.8	0.1	0.0	0.3546737879950478
120	0.0	0.0	0.0	0.0	0.1	0.9	0.0	0.0	0.3956248122942727
121	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.8	0.3545115750442205
122	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.7	0.3323436922156472
123	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.6	0.32698954558412296
124	0.0	0.0	0.0	0.0	0.2	0.0	0.3	0.5	0.3255922920332513
125	0.0	0.0	0.0	0.0	0.2	0.0	0.4	0.4	0.3185628761491007
126	0.0	0.0	0.0	0.0	0.2	0.0	0.5	0.3	0.3070162315679441
127	0.0	0.0	0.0	0.0	0.2	0.0	0.6	0.2	0.29939236998430463
128	0.0	0.0	0.0	0.0	0.2	0.0	0.7	0.1	0.3035838694192049
129	0.0	0.0	0.0	0.0	0.2	0.0	0.8	0.0	0.32342582283206134
