	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
56	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.3	-0.3330089169606383
57	0.0	0.0	0.0	0.0	0.0	0.7	0.1	0.2	-0.3283922441198111
58	0.0	0.0	0.0	0.0	0.0	0.7	0.2	0.1	-0.3224217195047228
59	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.0	-0.3184081862845203
60	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.2	-0.3431725689669966
61	0.0	0.0	0.0	0.0	0.0	0.8	0.1	0.1	-0.34050341563303715
62	0.0	0.0	0.0	0.0	0.0	0.8	0.2	0.0	-0.335710848182213
63	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.1	-0.3461082310381234
64	0.0	0.0	0.0	0.0	0.0	0.9	0.1	0.0	-0.3437053373848493
65	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.3432858147160954
66	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.9	-0.32966893891586935
67	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.8	-0.32649264947415346
68	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.7	-0.3208465022990188
69	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.6	-0.3127742447427845
70	0.0	0.0	0.0	0.0	0.1	0.0	0.4	0.5	-0.3043475031522138
71	0.0	0.0	0.0	0.0	0.1	0.0	0.5	0.4	-0.29926763850746363
72	0.0	0.0	0.0	0.0	0.1	0.0	0.6	0.3	-0.3003379715222253
73	0.0	0.0	0.0	0.0	0.1	0.0	0.7	0.2	-0.30705820968109887
74	0.0	0.0	0.0	0.0	0.1	0.0	0.8	0.1	-0.3160491332325576
75	0.0	0.0	0.0	0.0	0.1	0.0	0.9	0.0	-0.32378547618951886
76	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.8	-0.3257810444509646
77	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.7	-0.31799297474266386
78	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.6	-0.30532527842941665
79	0.0	0.0	0.0	0.0	0.1	0.1	0.3	0.5	-0.2897452549018384
80	0.0	0.0	0.0	0.0	0.1	0.1	0.4	0.4	-0.2769772789639351
81	0.0	0.0	0.0	0.0	0.1	0.1	0.5	0.3	-0.2734445864968251
