	Pt	Pd	Au	Ru	Rh	Ir	Re	Os	Activity
29	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.0	0.363276183388792
30	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.7	0.40273578556323225
31	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.6	0.39319099169651317
32	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.5	0.39564678577481716
33	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.4	0.3963082730761932
34	0.0	0.0	0.0	0.0	0.0	0.3	0.4	0.3	0.38836250551798984
35	0.0	0.0	0.0	0.0	0.0	0.3	0.5	0.2	0.37560591426691287
36	0.0	0.0	0.0	0.0	0.0	0.3	0.6	0.1	0.36947782819667485
37	0.0	0.0	0.0	0.0	0.0	0.3	0.7	0.0	0.3825043785608378
38	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.6	0.44280575368228225
39	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.5	0.4201738465651903
40	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.4	0.40318763758617304
41	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.3	0.3885582185640717
42	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.2	0.3793160838877613
43	0.0	0.0	0.0	0.0	0.0	0.4	0.5	0.1	0.38264919728811037
44	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.0	0.4050126055911198
45	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.4672349419698301
46	0.0	0.0	0.0	0.0	0.0	0.5	0.1	0.4	0.4276982008132249
47	0.0	0.0	0.0	0.0	0.0	0.5	0.2	0.3	0.3971124148221268
48	0.0	0.0	0.0	0.0	0.0	0.5	0.3	0.2	0.38149565444071626
49	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.1	0.3875280806865803
50	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.4179986470889821
51	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.4	0.4654704643878192
52	0.0	0.0	0.0	0.0	0.0	0.6	0.1	0.3	0.41462580860474685
53	0.0	0.0	0.0	0.0	0.0	0.6	0.2	0.2	0.3842996181333484
54	0.0	0.0	0.0	0.0	0.0	0.6	0.3	0.1	0.38408395467930345
55	0.0	0.0	0.0	0.0	0.0	0.6	0.4	0.0	0.4166250827178605
56	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.3	0.4418378857728689
57	0.0	0.0	0.0	0.0	0.0	0.7	0.1	0.2	0.39241930631798966
58	0.0	0.0	0.0	0.0	0.0	0.7	0.2	0.1	0.37790288912165043
59	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.0	0.4041798975010349
60	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.2	0.4132799532388385
61	0.0	0.0	0.0	0.0	0.0	0.8	0.1	0.1	0.3796122656895818
62	0.0	0.0	0.0	0.0	0.0	0.8	0.2	0.0	0.3913514003502972
63	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.1	0.40174945439550086
64	0.0	0.0	0.0	0.0	0.0	0.9	0.1	0.0	0.39347513613675356
65	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.4236625508230546
66	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.9	0.36586722809225136
67	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.8	0.3505520803734693
68	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.7	0.37188130540187775
69	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.6	0.40915448188976844
70	0.0	0.0	0.0	0.0	0.1	0.0	0.4	0.5	0.43685478499307606
71	0.0	0.0	0.0	0.0	0.1	0.0	0.5	0.4	0.4379500894019652
72	0.0	0.0	0.0	0.0	0.1	0.0	0.6	0.3	0.41227351614590624
73	0.0	0.0	0.0	0.0	0.1	0.0	0.7	0.2	0.3761291456807556
74	0.0	0.0	0.0	0.0	0.1	0.0	0.8	0.1	0.3539753046081071
75	0.0	0.0	0.0	0.0	0.1	0.0	0.9	0.0	0.36631630056292835
76	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.8	0.3470868309284873
77	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.7	0.34273638981056254
78	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.6	0.36423053299151326
79	0.0	0.0	0.0	0.0	0.1	0.1	0.3	0.5	0.38896575975730263
80	0.0	0.0	0.0	0.0	0.1	0.1	0.4	0.4	0.3971418372362482
81	0.0	0.0	0.0	0.0	0.1	0.1	0.5	0.3	0.38240160114789234
82	0.0	0.0	0.0	0.0	0.1	0.1	0.6	0.2	0.3544715120889603
83	0.0	0.0	0.0	0.0	0.1	0.1	0.7	0.1	0.3334554085385712
