	Ag	Ir	Pd	Pt	Ru	Activity
163	0.0	0.0	0.45	0.5	0.05	0.04763872872130005
164	0.0	0.0	0.45	0.55	0.0	0.04630806567444702
165	0.0	0.0	0.5	0.0	0.5	0.07593946814581606
166	0.0	0.0	0.5	0.05	0.45	0.0727109337072458
167	0.0	0.0	0.5	0.1	0.4	0.06972010585133069
168	0.0	0.0	0.5	0.15	0.35	0.06707019143307644
169	0.0	0.0	0.5	0.2	0.3	0.06477599578785531
170	0.0	0.0	0.5	0.25	0.25	0.06276723889187986
171	0.0	0.0	0.5	0.3	0.2	0.06092607391061702
172	0.0	0.0	0.5	0.35	0.15	0.059147565524572426
173	0.0	0.0	0.5	0.4	0.1	0.05740223355006761
174	0.0	0.0	0.5	0.45	0.05	0.055777660125805685
175	0.0	0.0	0.5	0.5	0.0	0.05448263796021149
176	0.0	0.0	0.55	0.0	0.45	0.08570877807494856
177	0.0	0.0	0.55	0.05	0.4	0.08246326955174639
178	0.0	0.0	0.55	0.1	0.35	0.07925576818139965
179	0.0	0.0	0.55	0.15	0.3	0.07620695612826331
180	0.0	0.0	0.55	0.2	0.25	0.07338081182860479
181	0.0	0.0	0.55	0.25	0.2	0.07078817942008785
182	0.0	0.0	0.55	0.3	0.15	0.06841402091358906
183	0.0	0.0	0.55	0.35	0.1	0.06625807454868277
184	0.0	0.0	0.55	0.4	0.05	0.06437275172513654
185	0.0	0.0	0.55	0.45	0.0	0.06288235957411564
186	0.0	0.0	0.6	0.0	0.4	0.09759104032399997
187	0.0	0.0	0.6	0.05	0.35	0.09414311719120519
188	0.0	0.0	0.6	0.1	0.3	0.09042705722263872
189	0.0	0.0	0.6	0.15	0.25	0.08663034533326824
190	0.0	0.0	0.6	0.2	0.2	0.08292346241597076
191	0.0	0.0	0.6	0.25	0.15	0.07944857348500486
192	0.0	0.0	0.6	0.3	0.1	0.07632358868823355
193	0.0	0.0	0.6	0.35	0.05	0.07365636935716507
194	0.0	0.0	0.6	0.4	0.0	0.07155955290905247
195	0.0	0.0	0.65	0.0	0.35	0.1110327017964893
196	0.0	0.0	0.65	0.05	0.3	0.10702645645548135
197	0.0	0.0	0.65	0.1	0.25	0.10240939535164469
198	0.0	0.0	0.65	0.15	0.2	0.0974939766845065
199	0.0	0.0	0.65	0.2	0.15	0.0926056412538252
200	0.0	0.0	0.65	0.25	0.1	0.08804478612600503
201	0.0	0.0	0.65	0.3	0.05	0.08406207842050095
202	0.0	0.0	0.65	0.35	0.0	0.08084849721319659
203	0.0	0.0	0.7	0.0	0.3	0.12508282660237485
204	0.0	0.0	0.7	0.05	0.25	0.120111869161928
205	0.0	0.0	0.7	0.1	0.2	0.11423510433248145
206	0.0	0.0	0.7	0.15	0.15	0.10793487995267281
207	0.0	0.0	0.7	0.2	0.1	0.10171304608065228
208	0.0	0.0	0.7	0.25	0.05	0.09602194737372374
209	0.0	0.0	0.7	0.3	0.0	0.09121435148952452
210	0.0	0.0	0.75	0.0	0.25	0.13861284671344842
211	0.0	0.0	0.75	0.05	0.2	0.13234797366354162
212	0.0	0.0	0.75	0.1	0.15	0.12500019608144497
213	0.0	0.0	0.75	0.15	0.1	0.11723722739599786
214	0.0	0.0	0.75	0.2	0.05	0.10972396780522208
215	0.0	0.0	0.75	0.25	0.0	0.10302703067857111
216	0.0	0.0	0.8	0.0	0.2	0.15054215674260268
217	0.0	0.0	0.8	0.05	0.15	0.1428272070484275
218	0.0	0.0	0.8	0.1	0.1	0.13400697606476353
219	0.0	0.0	0.8	0.15	0.05	0.12491497978297575
220	0.0	0.0	0.8	0.2	0.0	0.11633467281586196
221	0.0	0.0	0.85	0.0	0.15	0.1600132193646484
