	Ag	Ir	Pd	Pt	Ru	Activity
163	0.0	0.0	0.45	0.5	0.05	0.04622475884737141
164	0.0	0.0	0.45	0.55	0.0	0.040041578782730285
165	0.0	0.0	0.5	0.0	0.5	0.08493138018635553
166	0.0	0.0	0.5	0.05	0.45	0.07946959453380864
167	0.0	0.0	0.5	0.1	0.4	0.07430058345821051
168	0.0	0.0	0.5	0.15	0.35	0.0729828428362995
169	0.0	0.0	0.5	0.2	0.3	0.07184203465639168
170	0.0	0.0	0.5	0.25	0.25	0.07174129089384763
171	0.0	0.0	0.5	0.3	0.2	0.06987999307192228
172	0.0	0.0	0.5	0.35	0.15	0.06762273479991848
173	0.0	0.0	0.5	0.4	0.1	0.06343999945921892
174	0.0	0.0	0.5	0.45	0.05	0.05783558316667808
175	0.0	0.0	0.5	0.5	0.0	0.05196362241451536
176	0.0	0.0	0.55	0.0	0.45	0.09275895699788393
177	0.0	0.0	0.55	0.05	0.4	0.0877719607608461
178	0.0	0.0	0.55	0.1	0.35	0.08375598129404205
179	0.0	0.0	0.55	0.15	0.3	0.08250647333744832
180	0.0	0.0	0.55	0.2	0.25	0.08298944142971042
181	0.0	0.0	0.55	0.25	0.2	0.0798958350959598
182	0.0	0.0	0.55	0.3	0.15	0.07674354487429179
183	0.0	0.0	0.55	0.35	0.1	0.07222514198926004
184	0.0	0.0	0.55	0.4	0.05	0.06805058762035229
185	0.0	0.0	0.55	0.45	0.0	0.06317863064723449
186	0.0	0.0	0.6	0.0	0.4	0.09823392999026816
187	0.0	0.0	0.6	0.05	0.35	0.09440823044607054
188	0.0	0.0	0.6	0.1	0.3	0.09333774165142729
189	0.0	0.0	0.6	0.15	0.25	0.09258150832752952
190	0.0	0.0	0.6	0.2	0.2	0.08935322214563936
191	0.0	0.0	0.6	0.25	0.15	0.087541557654141
192	0.0	0.0	0.6	0.3	0.1	0.08242298250673043
193	0.0	0.0	0.6	0.35	0.05	0.07700008091345704
194	0.0	0.0	0.6	0.4	0.0	0.0726544902323325
195	0.0	0.0	0.65	0.0	0.35	0.11113352937617116
196	0.0	0.0	0.65	0.05	0.3	0.10907705993757386
197	0.0	0.0	0.65	0.1	0.25	0.10836287515126103
198	0.0	0.0	0.65	0.15	0.2	0.10429785817468384
199	0.0	0.0	0.65	0.2	0.15	0.10165576382948995
200	0.0	0.0	0.65	0.25	0.1	0.09609484423917689
201	0.0	0.0	0.65	0.3	0.05	0.09002051299347441
202	0.0	0.0	0.65	0.35	0.0	0.08630200729294314
