	Ag	Ir	Pd	Pt	Ru	Activity
96	0.0	0.0	0.25	0.05	0.7	-0.020866080974681248
97	0.0	0.0	0.25	0.1	0.65	-0.025139962243051164
98	0.0	0.0	0.25	0.15	0.6	-0.03314761292212677
99	0.0	0.0	0.25	0.2	0.55	-0.04387274684269066
100	0.0	0.0	0.25	0.25	0.5	-0.05596194376799657
101	0.0	0.0	0.25	0.3	0.45	-0.067963406037318
102	0.0	0.0	0.25	0.35	0.4	-0.07856865571320887
103	0.0	0.0	0.25	0.4	0.35	-0.08680469382771097
104	0.0	0.0	0.25	0.45	0.3	-0.09214257439111072
105	0.0	0.0	0.25	0.5	0.25	-0.0945132841894758
106	0.0	0.0	0.25	0.55	0.2	-0.09424495124263405
107	0.0	0.0	0.25	0.6	0.15	-0.09195023329851204
108	0.0	0.0	0.25	0.65	0.1	-0.08839635201192789
109	0.0	0.0	0.25	0.7	0.05	-0.08438388802213295
110	0.0	0.0	0.25	0.75	0.0	-0.08064877959468135
111	0.0	0.0	0.3	0.0	0.7	-0.032352352164529405
112	0.0	0.0	0.3	0.05	0.65	-0.03641805866440176
113	0.0	0.0	0.3	0.1	0.6	-0.044471812792968815
114	0.0	0.0	0.3	0.15	0.55	-0.05560547991199331
115	0.0	0.0	0.3	0.2	0.5	-0.06843840529828812
116	0.0	0.0	0.3	0.25	0.45	-0.08135055318418784
117	0.0	0.0	0.3	0.3	0.4	-0.09276441056752568
118	0.0	0.0	0.3	0.35	0.35	-0.10141308547188888
119	0.0	0.0	0.3	0.4	0.3	-0.10653712904198537
120	0.0	0.0	0.3	0.45	0.25	-0.10797187743267714
121	0.0	0.0	0.3	0.5	0.2	-0.1061149855301618
122	0.0	0.0	0.3	0.55	0.15	-0.1017927248020534
123	0.0	0.0	0.3	0.6	0.1	-0.09606563383185182
124	0.0	0.0	0.3	0.65	0.05	-0.09002323855765917
125	0.0	0.0	0.3	0.7	0.0	-0.08461197537912325
126	0.0	0.0	0.35	0.0	0.65	-0.050076482854074164
127	0.0	0.0	0.35	0.05	0.6	-0.05783580289943209
128	0.0	0.0	0.35	0.1	0.55	-0.06882673040922234
129	0.0	0.0	0.35	0.15	0.5	-0.08176192741703132
130	0.0	0.0	0.35	0.2	0.45	-0.09499407175635997
131	0.0	0.0	0.35	0.25	0.4	-0.1067957136571329
132	0.0	0.0	0.35	0.3	0.35	-0.11566588982264377
133	0.0	0.0	0.35	0.35	0.3	-0.12059663976151136
134	0.0	0.0	0.35	0.4	0.25	-0.12124015715934976
135	0.0	0.0	0.35	0.45	0.2	-0.1179399283667834
136	0.0	0.0	0.35	0.5	0.15	-0.11162210336237276
137	0.0	0.0	0.35	0.55	0.1	-0.10357813351292243
138	0.0	0.0	0.35	0.6	0.05	-0.09519606291474655
139	0.0	0.0	0.35	0.65	0.0	-0.08770706035816943
140	0.0	0.0	0.4	0.0	0.6	-0.07258469691912339
141	0.0	0.0	0.4	0.05	0.55	-0.0829979430543219
142	0.0	0.0	0.4	0.1	0.5	-0.095400959343529
143	0.0	0.0	0.4	0.15	0.45	-0.10824673317432434
144	0.0	0.0	0.4	0.2	0.4	-0.11980614865372428
145	0.0	0.0	0.4	0.25	0.35	-0.12847030493905348
146	0.0	0.0	0.4	0.3	0.3	-0.13304824589541592
147	0.0	0.0	0.4	0.35	0.25	-0.13299397455661421
148	0.0	0.0	0.4	0.4	0.2	-0.12850825211986464
149	0.0	0.0	0.4	0.45	0.15	-0.12048758719695891
150	0.0	0.0	0.4	0.5	0.1	-0.11033011434261653
151	0.0	0.0	0.4	0.55	0.05	-0.09964578834137605
152	0.0	0.0	0.4	0.6	0.0	-0.08994392565960255
153	0.0	0.0	0.45	0.0	0.55	-0.09735387420416813
154	0.0	0.0	0.45	0.05	0.5	-0.10874970472403833
155	0.0	0.0	0.45	0.1	0.45	-0.12056441137884498
156	0.0	0.0	0.45	0.15	0.4	-0.13119609059478002
157	0.0	0.0	0.45	0.2	0.35	-0.13907609923412828
158	0.0	0.0	0.45	0.25	0.3	-0.1429555816504144
159	0.0	0.0	0.45	0.3	0.25	-0.14215386957105064
160	0.0	0.0	0.45	0.35	0.2	-0.13671069964998075
161	0.0	0.0	0.45	0.4	0.15	-0.12739953164458828
162	0.0	0.0	0.45	0.45	0.1	-0.11558899836619312
163	0.0	0.0	0.45	0.5	0.05	-0.10297822256057268
164	0.0	0.0	0.45	0.55	0.0	-0.09126789639014324
165	0.0	0.0	0.5	0.0	0.5	-0.12108207648224507
166	0.0	0.0	0.5	0.05	0.45	-0.13143816480137513
167	0.0	0.0	0.5	0.1	0.4	-0.14058777445927265
168	0.0	0.0	0.5	0.15	0.35	-0.14712352196679146
169	0.0	0.0	0.5	0.2	0.3	-0.1498763487758379
170	0.0	0.0	0.5	0.25	0.25	-0.14814475084745116
171	0.0	0.0	0.5	0.3	0.2	-0.14186056631482216
172	0.0	0.0	0.5	0.35	0.15	-0.13164760248635024
173	0.0	0.0	0.5	0.4	0.1	-0.11874601755705284
174	0.0	0.0	0.5	0.45	0.05	-0.10480495878490415
175	0.0	0.0	0.5	0.5	0.0	-0.09158240850602391
176	0.0	0.0	0.55	0.0	0.45	-0.14033578811273345
177	0.0	0.0	0.55	0.05	0.4	-0.1477214235785342
178	0.0	0.0	0.55	0.1	0.35	-0.15254894863209784
179	0.0	0.0	0.55	0.15	0.3	-0.15383200125790727
