	Ir	Pd	Pt	Rh	Ru	Activity
68	0.0	0.0	0.15	0.4	0.45	0.003220374772147596
69	0.0	0.0	0.15	0.45	0.4	0.0034483229326101915
70	0.0	0.0	0.15	0.5	0.35	0.0027851530137719565
71	0.0	0.0	0.15	0.55	0.3	0.0026476164444516385
72	0.0	0.0	0.15	0.6	0.25	0.0022317017984662757
73	0.0	0.0	0.15	0.65	0.2	0.001633496081781876
74	0.0	0.0	0.15	0.7	0.15	0.0017389377339663383
75	0.0	0.0	0.15	0.75	0.1	0.0016419891075362331
76	0.0	0.0	0.15	0.8	0.05	0.0019188889073790839
77	0.0	0.0	0.15	0.85	0.0	0.002506934256943929
78	0.0	0.0	0.2	0.0	0.8	0.0030963152373805654
79	0.0	0.0	0.2	0.05	0.75	0.0037531595112045234
80	0.0	0.0	0.2	0.1	0.7	0.004297173561731612
81	0.0	0.0	0.2	0.15	0.65	0.004814835026194858
82	0.0	0.0	0.2	0.2	0.6	0.0046890135794716275
83	0.0	0.0	0.2	0.25	0.55	0.00507571664005756
84	0.0	0.0	0.2	0.3	0.5	0.005660457642011954
85	0.0	0.0	0.2	0.35	0.45	0.005450597548774893
86	0.0	0.0	0.2	0.4	0.4	0.005738081550904102
87	0.0	0.0	0.2	0.45	0.35	0.005088684178070895
88	0.0	0.0	0.2	0.5	0.3	0.004970519919395207
89	0.0	0.0	0.2	0.55	0.25	0.004544207377126554
90	0.0	0.0	0.2	0.6	0.2	0.003558156952457654
91	0.0	0.0	0.2	0.65	0.15	0.0038520600458368743
92	0.0	0.0	0.2	0.7	0.1	0.0037639138981266597
93	0.0	0.0	0.2	0.75	0.05	0.004736224350131011
94	0.0	0.0	0.2	0.8	0.0	0.006019538153726977
95	0.0	0.0	0.25	0.0	0.75	0.006493236898772701
96	0.0	0.0	0.25	0.05	0.7	0.00769582012560314
97	0.0	0.0	0.25	0.1	0.65	0.008474580199396307
98	0.0	0.0	0.25	0.15	0.6	0.00856532558390631
99	0.0	0.0	0.25	0.2	0.55	0.008259845573228843
100	0.0	0.0	0.25	0.25	0.5	0.009072454742414396
101	0.0	0.0	0.25	0.3	0.45	0.009024637309335453
