	Ir	Pd	Pt	Rh	Ru	Activity
120	0.0	0.0	0.3	0.45	0.25	-0.02190485117212701
121	0.0	0.0	0.3	0.5	0.2	-0.020347320853889628
122	0.0	0.0	0.3	0.55	0.15	-0.018805898062528206
123	0.0	0.0	0.3	0.6	0.1	-0.017627819980328904
124	0.0	0.0	0.3	0.65	0.05	-0.01713851457922909
125	0.0	0.0	0.3	0.7	0.0	-0.01760806464501817
126	0.0	0.0	0.35	0.0	0.65	-0.02030065578383683
127	0.0	0.0	0.35	0.05	0.6	-0.02227035571746555
128	0.0	0.0	0.35	0.1	0.55	-0.02459140402918654
129	0.0	0.0	0.35	0.15	0.5	-0.026877510011746805
130	0.0	0.0	0.35	0.2	0.45	-0.028794596998345273
131	0.0	0.0	0.35	0.25	0.4	-0.03009915709936914
132	0.0	0.0	0.35	0.3	0.35	-0.03066424734866005
133	0.0	0.0	0.35	0.35	0.3	-0.030489867121466105
134	0.0	0.0	0.35	0.4	0.25	-0.029696902241515333
135	0.0	0.0	0.35	0.45	0.2	-0.028506301697163602
136	0.0	0.0	0.35	0.5	0.15	-0.02720722327611068
137	0.0	0.0	0.35	0.55	0.1	-0.02611920414794079
138	0.0	0.0	0.35	0.6	0.05	-0.02555381037304784
139	0.0	0.0	0.35	0.65	0.0	-0.025780716162642436
140	0.0	0.0	0.4	0.0	0.6	-0.02862836032339776
141	0.0	0.0	0.4	0.05	0.55	-0.03073808710913388
142	0.0	0.0	0.4	0.1	0.5	-0.032973213011208105
143	0.0	0.0	0.4	0.15	0.45	-0.034999940836783774
144	0.0	0.0	0.4	0.2	0.4	-0.03655635011954647
145	0.0	0.0	0.4	0.25	0.35	-0.037481443626675603
146	0.0	0.0	0.4	0.3	0.3	-0.03773028498007677
147	0.0	0.0	0.4	0.35	0.25	-0.037373606308905155
148	0.0	0.0	0.4	0.4	0.2	-0.03658268877188681
149	0.0	0.0	0.4	0.45	0.15	-0.035602490349972635
150	0.0	0.0	0.4	0.5	0.1	-0.03471753548801167
151	0.0	0.0	0.4	0.55	0.05	-0.034215758944269745
152	0.0	0.0	0.4	0.6	0.0	-0.0343552675554684
153	0.0	0.0	0.45	0.0	0.55	-0.03734310842681214
154	0.0	0.0	0.45	0.05	0.5	-0.039362773300032336
155	0.0	0.0	0.45	0.1	0.45	-0.0413251572456092
156	0.0	0.0	0.45	0.15	0.4	-0.04296529239597423
157	0.0	0.0	0.45	0.2	0.35	-0.04410257466830683
158	0.0	0.0	0.45	0.25	0.3	-0.0446592618490437
159	0.0	0.0	0.45	0.3	0.25	-0.04466470745578778
160	0.0	0.0	0.45	0.35	0.2	-0.04424535849423908
161	0.0	0.0	0.45	0.4	0.15	-0.04360274208077421
162	0.0	0.0	0.45	0.45	0.1	-0.042983361817937576
163	0.0	0.0	0.45	0.5	0.05	-0.04264533914639432
164	0.0	0.0	0.45	0.55	0.0	-0.04282666238256669
165	0.0	0.0	0.5	0.0	0.5	-0.045981070471080215
166	0.0	0.0	0.5	0.05	0.45	-0.04770772653182695
167	0.0	0.0	0.5	0.1	0.4	-0.049250878637685194
168	0.0	0.0	0.5	0.15	0.35	-0.050424899087416444
169	0.0	0.0	0.5	0.2	0.3	-0.051132963745337726
170	0.0	0.0	0.5	0.25	0.25	-0.05137468636989939
171	0.0	0.0	0.5	0.3	0.2	-0.05124033302071243
172	0.0	0.0	0.5	0.35	0.15	-0.050893150785402824
173	0.0	0.0	0.5	0.4	0.1	-0.05054313574727398
174	0.0	0.0	0.5	0.45	0.05	-0.05041666923332888
175	0.0	0.0	0.5	0.5	0.0	-0.050726708186481645
176	0.0	0.0	0.55	0.0	0.45	-0.05409752547863761
177	0.0	0.0	0.55	0.05	0.4	-0.0553681167252395
178	0.0	0.0	0.55	0.1	0.35	-0.05639371446694273
179	0.0	0.0	0.55	0.15	0.3	-0.057072112049820684
180	0.0	0.0	0.55	0.2	0.25	-0.05738617838192747
181	0.0	0.0	0.55	0.25	0.2	-0.05740122921073554
182	0.0	0.0	0.55	0.3	0.15	-0.05725090830905183
183	0.0	0.0	0.55	0.35	0.1	-0.05711434312970903
184	0.0	0.0	0.55	0.4	0.05	-0.05718858963122615
185	0.0	0.0	0.55	0.45	0.0	-0.05766083827479321
186	0.0	0.0	0.6	0.0	0.4	-0.06129031887521155
187	0.0	0.0	0.6	0.05	0.35	-0.06199090522541348
188	0.0	0.0	0.6	0.1	0.3	-0.062452820689387054
189	0.0	0.0	0.6	0.15	0.25	-0.06265494082595292
190	0.0	0.0	0.6	0.2	0.2	-0.06264991488128396
191	0.0	0.0	0.6	0.25	0.15	-0.06255268844288538
192	0.0	0.0	0.6	0.3	0.1	-0.06252033752576706
193	0.0	0.0	0.6	0.35	0.05	-0.06272683486468075
194	0.0	0.0	0.6	0.4	0.0	-0.06333700138413073
195	0.0	0.0	0.65	0.0	0.35	-0.067222059743302
196	0.0	0.0	0.65	0.05	0.3	-0.06729349654954887
197	0.0	0.0	0.65	0.1	0.25	-0.06719844709406324
198	0.0	0.0	0.65	0.15	0.2	-0.06698866305308472
199	0.0	0.0	0.65	0.2	0.15	-0.06677199486592589
200	0.0	0.0	0.65	0.25	0.1	-0.06669411818534181
201	0.0	0.0	0.65	0.3	0.05	-0.06691496057023631
202	0.0	0.0	0.65	0.35	0.0	-0.06758387604811321
203	0.0	0.0	0.7	0.0	0.3	-0.07164060695267596
