	Ir	Pd	Pt	Rh	Ru	Activity
64	0.0	0.0	0.15	0.2	0.65	0.00725442674978824
65	0.0	0.0	0.15	0.25	0.6	0.011251808629159574
66	0.0	0.0	0.15	0.3	0.55	0.015227315979132655
67	0.0	0.0	0.15	0.35	0.5	0.01860715846256203
68	0.0	0.0	0.15	0.4	0.45	0.020937268562238612
69	0.0	0.0	0.15	0.45	0.4	0.02194327461042729
70	0.0	0.0	0.15	0.5	0.35	0.02156684676071939
71	0.0	0.0	0.15	0.55	0.3	0.019972573862201415
72	0.0	0.0	0.15	0.6	0.25	0.01752416094636257
73	0.0	0.0	0.15	0.65	0.2	0.014733639030930307
74	0.0	0.0	0.15	0.7	0.15	0.012191531050560048
75	0.0	0.0	0.15	0.75	0.1	0.010488729001552607
76	0.0	0.0	0.15	0.8	0.05	0.010141717681885945
77	0.0	0.0	0.15	0.85	0.0	0.01153164058194213
78	0.0	0.0	0.2	0.0	0.8	0.003615699843586506
79	0.0	0.0	0.2	0.05	0.75	0.0035825073064986723
80	0.0	0.0	0.2	0.1	0.7	0.0054598444193270645
81	0.0	0.0	0.2	0.15	0.65	0.008822704050193406
82	0.0	0.0	0.2	0.2	0.6	0.013109505644285077
83	0.0	0.0	0.2	0.25	0.55	0.01768481799580296
84	0.0	0.0	0.2	0.3	0.5	0.021915661251032406
85	0.0	0.0	0.2	0.35	0.45	0.025251039792291194
86	0.0	0.0	0.2	0.4	0.4	0.027293123462330607
87	0.0	0.0	0.2	0.45	0.35	0.027849220671111355
88	0.0	0.0	0.2	0.5	0.3	0.026956359895720775
89	0.0	0.0	0.2	0.55	0.25	0.024874499699993113
90	0.0	0.0	0.2	0.6	0.2	0.02204937254714552
91	0.0	0.0	0.2	0.65	0.15	0.01905080495401247
92	0.0	0.0	0.2	0.7	0.1	0.01649613656460533
93	0.0	0.0	0.2	0.75	0.05	0.014970393068399174
94	0.0	0.0	0.2	0.8	0.0	0.014954828720913985
95	0.0	0.0	0.25	0.0	0.75	0.006890791492465492
96	0.0	0.0	0.25	0.05	0.7	0.008241351564587787
97	0.0	0.0	0.25	0.1	0.65	0.011343360186475679
98	0.0	0.0	0.25	0.15	0.6	0.015690559773641838
99	0.0	0.0	0.25	0.2	0.55	0.020664045464115155
100	0.0	0.0	0.25	0.25	0.5	0.02560307722717986
101	0.0	0.0	0.25	0.3	0.45	0.029885314139115618
102	0.0	0.0	0.25	0.35	0.4	0.033005220395223314
103	0.0	0.0	0.25	0.4	0.35	0.03463899125815044
104	0.0	0.0	0.25	0.45	0.3	0.034685976554935105
105	0.0	0.0	0.25	0.5	0.25	0.03328004239447478
106	0.0	0.0	0.25	0.55	0.2	0.030769022160930456
107	0.0	0.0	0.25	0.6	0.15	0.02766550181649778
108	0.0	0.0	0.25	0.65	0.1	0.024576703427348703
109	0.0	0.0	0.25	0.7	0.05	0.02212433041070519
110	0.0	0.0	0.25	0.75	0.0	0.020866372763853516
111	0.0	0.0	0.3	0.0	0.7	0.012137882758977994
112	0.0	0.0	0.3	0.05	0.65	0.014754142780748825
113	0.0	0.0	0.3	0.1	0.6	0.018905731533303036
114	0.0	0.0	0.3	0.15	0.55	0.02402223881031483
115	0.0	0.0	0.3	0.2	0.5	0.029449592922276183
116	0.0	0.0	0.3	0.25	0.45	0.03452631911203956
117	0.0	0.0	0.3	0.3	0.4	0.03866449748199502
118	0.0	0.0	0.3	0.35	0.35	0.0414237610387842
119	0.0	0.0	0.3	0.4	0.3	0.042567159861384374
120	0.0	0.0	0.3	0.45	0.25	0.042090198090549286
121	0.0	0.0	0.3	0.5	0.2	0.040218448616289065
122	0.0	0.0	0.3	0.55	0.15	0.03737413720947942
123	0.0	0.0	0.3	0.6	0.1	0.03411703191339792
124	0.0	0.0	0.3	0.65	0.05	0.031068942063119442
125	0.0	0.0	0.3	0.7	0.0	0.028833395396163267
126	0.0	0.0	0.35	0.0	0.65	0.01899227979642
127	0.0	0.0	0.35	0.05	0.6	0.022688491640707603
128	0.0	0.0	0.35	0.1	0.55	0.02766153560584146
129	0.0	0.0	0.35	0.15	0.5	0.033298043315941106
130	0.0	0.0	0.35	0.2	0.45	0.03893311460875082
131	0.0	0.0	0.35	0.25	0.4	0.04392897138265413
132	0.0	0.0	0.35	0.3	0.35	0.047753354089118766
133	0.0	0.0	0.35	0.35	0.3	0.05004612653631406
134	0.0	0.0	0.35	0.4	0.25	0.050663912320912316
135	0.0	0.0	0.35	0.45	0.2	0.04969579756114009
136	0.0	0.0	0.35	0.5	0.15	0.04744766003221566
137	0.0	0.0	0.35	0.55	0.1	0.04439769379517507
138	0.0	0.0	0.35	0.6	0.05	0.04113024539620201
139	0.0	0.0	0.35	0.65	0.0	0.038258309561171155
140	0.0	0.0	0.4	0.0	0.6	0.02699196587999325
