     Ir,     Pd,     Pt,     Rh,     Ru, activity
0.45000,0.00000,0.05000,0.45000,0.05000,0.0067095
0.55000,0.15000,0.05000,0.25000,0.00000,0.0241390
0.30000,0.25000,0.20000,0.05000,0.20000,0.0752785
0.40000,0.25000,0.25000,0.00000,0.10000,0.0688031
0.60000,0.00000,0.30000,0.00000,0.10000,0.0752088
0.45000,0.05000,0.30000,0.15000,0.05000,0.0680002
0.35000,0.10000,0.35000,0.00000,0.20000,0.0613485
0.65000,0.15000,0.10000,0.05000,0.05000,0.0243902
0.50000,0.05000,0.20000,0.00000,0.25000,0.0282657
0.40000,0.00000,0.10000,0.30000,0.20000,0.0113045
0.40000,0.15000,0.05000,0.40000,0.00000,0.0241051
0.50000,0.20000,0.05000,0.10000,0.15000,0.0340196
0.35000,0.00000,0.10000,0.45000,0.10000,0.0120766
0.45000,0.15000,0.35000,0.05000,0.00000,0.0730633
0.40000,0.05000,0.25000,0.05000,0.25000,0.0370063
0.60000,0.25000,0.05000,0.00000,0.10000,0.0342474
0.90000,0.00000,0.00000,0.10000,0.00000,0.0000225
0.35000,0.20000,0.15000,0.10000,0.20000,0.0524904
0.35000,0.05000,0.15000,0.30000,0.15000,0.0250530
0.55000,0.00000,0.20000,0.10000,0.15000,0.0336880
0.30000,0.40000,0.05000,0.10000,0.15000,0.1134796
0.75000,0.00000,0.00000,0.10000,0.15000,0.0000028
0.45000,0.40000,0.15000,0.00000,0.00000,0.0681648
0.45000,0.00000,0.05000,0.40000,0.10000,0.0063686
0.35000,0.35000,0.00000,0.20000,0.10000,0.0938626
0.55000,0.15000,0.05000,0.20000,0.05000,0.0237250
0.30000,0.25000,0.20000,0.00000,0.25000,0.0728242
0.60000,0.00000,0.25000,0.15000,0.00000,0.0759877
0.40000,0.25000,0.20000,0.15000,0.00000,0.0595135
0.45000,0.05000,0.30000,0.10000,0.10000,0.0589849
0.35000,0.10000,0.30000,0.25000,0.00000,0.0505347
0.65000,0.15000,0.10000,0.00000,0.10000,0.0251550
0.50000,0.05000,0.15000,0.30000,0.00000,0.0309234
0.40000,0.00000,0.10000,0.25000,0.25000,0.0086419
0.40000,0.15000,0.05000,0.35000,0.05000,0.0292506
0.50000,0.20000,0.05000,0.05000,0.20000,0.0320141
0.35000,0.00000,0.10000,0.40000,0.15000,0.0091866
0.40000,0.05000,0.25000,0.00000,0.30000,0.0332454
0.45000,0.15000,0.35000,0.00000,0.05000,0.0724372
0.60000,0.25000,0.00000,0.15000,0.00000,0.0304757
0.35000,0.20000,0.15000,0.05000,0.25000,0.0496095
0.35000,0.05000,0.15000,0.25000,0.20000,0.0222610
0.55000,0.00000,0.20000,0.05000,0.20000,0.0272523
0.90000,0.00000,0.00000,0.05000,0.05000,0.0000037
0.30000,0.40000,0.05000,0.05000,0.20000,0.1137888
0.45000,0.40000,0.10000,0.05000,0.00000,0.0695759
0.45000,0.00000,0.05000,0.35000,0.15000,0.0058147
0.35000,0.35000,0.00000,0.15000,0.15000,0.0906911
0.55000,0.15000,0.05000,0.15000,0.10000,0.0235685
0.75000,0.00000,0.00000,0.05000,0.20000,0.0000022
0.30000,0.25000,0.15000,0.30000,0.00000,0.0501922
0.60000,0.00000,0.25000,0.10000,0.05000,0.0670020
0.40000,0.25000,0.20000,0.10000,0.05000,0.0628787
0.45000,0.05000,0.30000,0.05000,0.15000,0.0566634
0.35000,0.10000,0.30000,0.20000,0.05000,0.0537961
0.65000,0.15000,0.05000,0.15000,0.00000,0.0206658
0.50000,0.05000,0.15000,0.25000,0.05000,0.0319081
0.40000,0.00000,0.10000,0.20000,0.30000,0.0056656
0.40000,0.15000,0.05000,0.30000,0.10000,0.0307794
0.50000,0.20000,0.05000,0.00000,0.25000,0.0300652
0.35000,0.00000,0.10000,0.35000,0.20000,0.0089531
0.40000,0.05000,0.20000,0.35000,0.00000,0.0321690
0.60000,0.25000,0.00000,0.10000,0.05000,0.0308232
0.35000,0.20000,0.15000,0.00000,0.30000,0.0482004
0.45000,0.15000,0.30000,0.10000,0.00000,0.0649359
0.35000,0.05000,0.15000,0.20000,0.25000,0.0183730
0.55000,0.00000,0.20000,0.00000,0.25000,0.0211096
0.45000,0.40000,0.10000,0.00000,0.05000,0.0739303
0.30000,0.40000,0.05000,0.00000,0.25000,0.1068748
0.45000,0.00000,0.05000,0.30000,0.20000,0.0044944
0.90000,0.00000,0.00000,0.00000,0.10000,0.0000002
0.55000,0.15000,0.05000,0.10000,0.15000,0.0213836
0.35000,0.35000,0.00000,0.10000,0.20000,0.0918461
0.30000,0.25000,0.15000,0.25000,0.05000,0.0629871
0.60000,0.00000,0.25000,0.05000,0.10000,0.0577873
0.75000,0.00000,0.00000,0.00000,0.25000,0.0000001
0.40000,0.25000,0.20000,0.05000,0.10000,0.0594848
0.45000,0.05000,0.30000,0.00000,0.20000,0.0530048
0.35000,0.10000,0.30000,0.15000,0.10000,0.0525868
0.65000,0.15000,0.05000,0.10000,0.05000,0.0193586
0.50000,0.05000,0.15000,0.20000,0.10000,0.0237586
0.50000,0.20000,0.00000,0.30000,0.00000,0.0238766
0.40000,0.15000,0.05000,0.25000,0.15000,0.0292256
0.35000,0.00000,0.10000,0.30000,0.25000,0.0086055
0.40000,0.00000,0.10000,0.15000,0.35000,0.0048212
0.40000,0.05000,0.20000,0.30000,0.05000,0.0338902
0.60000,0.25000,0.00000,0.05000,0.10000,0.0295788
0.35000,0.20000,0.10000,0.35000,0.00000,0.0393176
0.55000,0.00000,0.15000,0.30000,0.00000,0.0343614
0.35000,0.05000,0.15000,0.15000,0.30000,0.0184190
0.45000,0.15000,0.30000,0.05000,0.05000,0.0648788
0.30000,0.40000,0.00000,0.30000,0.00000,0.0865161
0.45000,0.40000,0.05000,0.10000,0.00000,0.0700498
0.85000,0.15000,0.00000,0.00000,0.00000,0.0042996
0.45000,0.00000,0.05000,0.25000,0.25000,0.0031908
0.55000,0.15000,0.05000,0.05000,0.20000,0.0171416
0.35000,0.35000,0.00000,0.05000,0.25000,0.0887087
0.60000,0.00000,0.25000,0.00000,0.15000,0.0460967
0.70000,0.30000,0.00000,0.00000,0.00000,0.0262644
0.30000,0.25000,0.15000,0.20000,0.10000,0.0692334
0.40000,0.25000,0.20000,0.00000,0.15000,0.0585617
0.45000,0.05000,0.25000,0.25000,0.00000,0.0501724
0.35000,0.10000,0.30000,0.10000,0.15000,0.0537821
0.65000,0.15000,0.05000,0.05000,0.10000,0.0185179
0.50000,0.05000,0.15000,0.15000,0.15000,0.0269191
0.50000,0.20000,0.00000,0.25000,0.05000,0.0340428
0.40000,0.15000,0.05000,0.20000,0.20000,0.0314619
0.35000,0.00000,0.10000,0.25000,0.30000,0.0054772
0.40000,0.05000,0.20000,0.25000,0.10000,0.0371078
0.40000,0.00000,0.10000,0.10000,0.40000,0.0031094
0.60000,0.25000,0.00000,0.00000,0.15000,0.0325409
0.35000,0.20000,0.10000,0.30000,0.05000,0.0445471
0.55000,0.00000,0.15000,0.25000,0.05000,0.0358471
0.85000,0.10000,0.05000,0.00000,0.00000,0.0130525
0.35000,0.05000,0.15000,0.10000,0.35000,0.0149973
0.30000,0.40000,0.00000,0.25000,0.05000,0.1026952
0.45000,0.15000,0.30000,0.00000,0.10000,0.0639180
0.45000,0.40000,0.05000,0.05000,0.05000,0.0794119
0.55000,0.15000,0.05000,0.00000,0.25000,0.0188560
0.45000,0.00000,0.05000,0.20000,0.30000,0.0028664
0.35000,0.35000,0.00000,0.00000,0.30000,0.0906684
0.70000,0.25000,0.05000,0.00000,0.00000,0.0266509
0.60000,0.00000,0.20000,0.20000,0.00000,0.0618081
0.30000,0.25000,0.15000,0.15000,0.15000,0.0698332
0.40000,0.25000,0.15000,0.20000,0.00000,0.0542377
0.45000,0.05000,0.25000,0.20000,0.05000,0.0551484
0.35000,0.10000,0.30000,0.05000,0.20000,0.0534738
0.65000,0.15000,0.05000,0.00000,0.15000,0.0151987
0.50000,0.05000,0.15000,0.10000,0.20000,0.0192555
0.50000,0.20000,0.00000,0.20000,0.10000,0.0332740
0.40000,0.15000,0.05000,0.15000,0.25000,0.0278831
0.40000,0.05000,0.20000,0.20000,0.15000,0.0297094
0.35000,0.00000,0.10000,0.20000,0.35000,0.0039472
0.35000,0.20000,0.10000,0.25000,0.10000,0.0440019
0.60000,0.20000,0.20000,0.00000,0.00000,0.0531988
0.40000,0.00000,0.10000,0.05000,0.45000,0.0020501
0.85000,0.10000,0.00000,0.05000,0.00000,0.0019722
0.55000,0.00000,0.15000,0.20000,0.10000,0.0274214
0.30000,0.40000,0.00000,0.20000,0.10000,0.1026049
0.35000,0.05000,0.15000,0.05000,0.40000,0.0133115
0.45000,0.15000,0.25000,0.15000,0.00000,0.0528289
0.45000,0.40000,0.05000,0.00000,0.10000,0.0772519
0.55000,0.15000,0.00000,0.30000,0.00000,0.0174723
0.70000,0.25000,0.00000,0.05000,0.00000,0.0200418
0.45000,0.00000,0.05000,0.15000,0.35000,0.0021373
0.35000,0.30000,0.35000,0.00000,0.00000,0.0682939
0.60000,0.00000,0.20000,0.15000,0.05000,0.0538416
0.30000,0.25000,0.15000,0.10000,0.20000,0.0649122
0.40000,0.25000,0.15000,0.15000,0.05000,0.0567648
0.45000,0.05000,0.25000,0.15000,0.10000,0.0463547
0.35000,0.10000,0.30000,0.00000,0.25000,0.0505307
0.65000,0.15000,0.00000,0.20000,0.00000,0.0114543
0.50000,0.05000,0.15000,0.05000,0.25000,0.0189305
0.50000,0.20000,0.00000,0.15000,0.15000,0.0324580
0.40000,0.15000,0.05000,0.10000,0.30000,0.0284465
0.40000,0.05000,0.20000,0.15000,0.20000,0.0317583
0.35000,0.00000,0.10000,0.15000,0.40000,0.0031611
0.85000,0.10000,0.00000,0.00000,0.05000,0.0021554
0.35000,0.20000,0.10000,0.20000,0.15000,0.0514794
0.60000,0.20000,0.15000,0.05000,0.00000,0.0432931
0.55000,0.00000,0.15000,0.15000,0.15000,0.0218747
0.45000,0.40000,0.00000,0.15000,0.00000,0.0765718
0.40000,0.00000,0.10000,0.00000,0.50000,0.0016319
0.30000,0.40000,0.00000,0.15000,0.15000,0.1158025
0.55000,0.15000,0.00000,0.25000,0.05000,0.0196571
0.35000,0.05000,0.15000,0.00000,0.45000,0.0120054
0.45000,0.15000,0.25000,0.10000,0.05000,0.0536051
